Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,2980.000000,3049.949951,2980.000000,3035.649902,2889.291016,2739767
2022-09-29,3054.000000,3055.850098,2990.000000,2997.300049,2852.789795,2493902
2022-09-30,2990.850098,3019.699951,2950.100098,3004.550049,2859.690674,2817353
2022-10-03,2995.000000,3020.699951,2974.000000,2984.949951,2841.035400,1763331
2022-10-04,3029.949951,3098.000000,3023.000000,3091.149902,2942.115234,2145875
2022-10-06,3111.000000,3124.000000,3092.449951,3101.949951,2952.394287,1790816
2022-10-07,3097.399902,3105.000000,3058.100098,3064.899902,2917.130615,1939879
2022-10-10,3010.000000,3127.000000,3005.000000,3118.550049,2968.194092,3064063
2022-10-11,3100.000000,3145.000000,3053.350098,3069.550049,2921.556885,4730645
2022-10-12,3084.899902,3109.899902,3062.050049,3100.750000,2951.252441,1665247
2022-10-13,3100.750000,3110.000000,3052.350098,3103.300049,2953.679199,2054781
2022-10-14,3145.000000,3150.000000,3071.000000,3099.149902,2949.729248,2245977
2022-10-17,3072.649902,3128.399902,3071.449951,3111.750000,2969.386963,1517005
2022-10-18,3150.000000,3155.350098,3128.550049,3144.699951,3000.829346,1793722
2022-10-19,3159.000000,3159.000000,3112.000000,3121.850098,2979.024902,1194289
2022-10-20,3105.000000,3160.000000,3105.000000,3157.300049,3012.853027,1587601
2022-10-21,3157.800049,3160.399902,3127.000000,3137.399902,2993.863281,1021913
2022-10-24,3170.100098,3178.000000,3155.000000,3161.699951,3017.051758,260949
2022-10-25,3180.500000,3184.250000,3151.149902,3162.100098,3017.433350,2069643
2022-10-27,3160.699951,3174.000000,3134.350098,3157.399902,3012.948242,2438421
2022-10-28,3150.000000,3178.500000,3145.000000,3163.250000,3018.530762,1355739
2022-10-31,3199.000000,3199.000000,3177.800049,3193.149902,3047.062744,1919414
2022-11-01,3214.500000,3262.600098,3203.449951,3259.699951,3110.568115,2991060
2022-11-02,3270.000000,3270.000000,3222.050049,3241.699951,3093.391357,1405955
2022-11-03,3228.050049,3228.050049,3195.000000,3206.750000,3060.040527,1422652
2022-11-04,3217.000000,3220.050049,3166.149902,3217.399902,3070.203125,1464013
2022-11-07,3229.000000,3242.800049,3195.100098,3233.699951,3085.757568,1474498
2022-11-09,3249.800049,3249.800049,3201.649902,3216.050049,3068.915283,1162267
2022-11-10,3170.000000,3225.000000,3170.000000,3205.649902,3058.990967,1573092
